10
0.17831:55.7587,81.6619;0.56697	0.155397:-8.43573,23.3258;0.447037	0.163571:43.5166,-71.5078;0.753702	0.180418:-65.231,-19.7646;-0.428547	0.151293:64.065,26.8815;0.831506	0.197278:-46.1913,49.856;0.0404767	0.128331:-30.8816,63.0545;-0.166292	0.108606:-64.4755,30.9034;0.748912	0.14577:-85.4926,-59.9798;-0.726365	0.153976:-29.654,48.9682;0.584849	
0.17831:55.6011,81.6352;0.589644	0.155397:-8.59232,23.228;0.464919	0.163571:43.5189,-71.501;0.78385	0.180418:-65.0936,-19.7627;-0.445689	0.151293:63.9147,27.0556;0.864765	0.197278:-46.379,49.6794;0.0420957	0.128331:-30.9366,63.1148;-0.172943	0.108606:-64.5922,30.8338;0.778869	0.14577:-85.417,-60.285;-0.755416	0.153976:-29.8419,48.845;0.608238	
0.17831:55.4436,81.6085;0.612317	0.155397:-8.74892,23.1301;0.4828	0.163571:43.5212,-71.4941;0.813998	0.180418:-64.9563,-19.7608;-0.462831	0.151293:63.7644,27.2298;0.898025	0.197278:-46.5667,49.5028;0.0437148	0.128331:-30.9915,63.1751;-0.179595	0.108606:-64.7089,30.7642;0.808827	0.14577:-85.3415,-60.5902;-0.784467	0.153976:-30.0298,48.722;0.631627	
0.17831:55.286,81.5818;0.634991	0.155397:-8.90551,23.0323;0.500681	0.163571:43.5235,-71.4872;0.844146	0.180418:-64.819,-19.7589;-0.479973	0.151293:63.6141,27.4039;0.931284	0.197278:-46.7544,49.3262;0.0453338	0.128331:-31.0464,63.2354;-0.186247	0.108606:-64.8257,30.6945;0.838784	0.14577:-85.266,-60.8954;-0.813519	0.153976:-30.2179,48.5991;0.655015	
0.17831:55.1285,81.5551;0.657664	0.155397:-9.0621,22.9344;0.518563	0.163571:43.5258,-71.4804;0.874294	0.180418:-64.6816,-19.757;-0.497116	0.151293:63.4638,27.5781;0.964543	0.197278:-46.9421,49.1496;0.0469528	0.128331:-31.1013,63.2956;-0.192899	0.108606:-64.9424,30.6249;0.868741	0.14577:-85.1904,-61.2005;-0.84257	0.153976:-30.4059,48.4763;0.678404	
0.17831:54.9709,81.5284;0.680338	0.155397:-9.2187,22.8366;0.536444	0.163571:43.5281,-71.4735;0.904442	0.180418:-64.5443,-19.755;-0.514258	0.151293:63.3135,27.7522;0.997803	0.197278:-47.1298,48.9729;0.0485718	0.128331:-31.1563,63.3559;-0.199551	0.108606:-65.0591,30.5553;0.898699	0.14577:-85.1149,-61.5057;-0.871621	0.153976:-30.594,48.3535;0.701793	
0.17831:54.8134,81.5017;0.703012	0.155397:-9.37529,22.7388;0.554326	0.163571:43.5303,-71.4666;0.93459	0.180418:-64.407,-19.7531;-0.5314	0.151293:63.1632,27.9263;1.03106	0.197278:-47.3174,48.7963;0.0501908	0.128331:-31.2112,63.4162;-0.206203	0.108606:-65.1759,30.4857;0.928656	0.14577:-85.0394,-61.8109;-0.900672	0.153976:-30.7821,48.2306;0.725182	
0.17831:54.6558,81.475;0.725685	0.155397:-9.53188,22.6409;0.572207	0.163571:43.5326,-71.4598;0.964738	0.180418:-64.2697,-19.7512;-0.548543	0.151293:63.0129,28.1005;1.06432	0.197278:-47.5051,48.6197;0.0518098	0.128331:-31.2661,63.4764;-0.212855	0.108606:-65.2926,30.4161;0.958613	0.14577:-84.9638,-62.1161;-0.929724	0.153976:-30.9701,48.1078;0.748571	
0.17831:54.4983,81.4483;0.748359	0.155397:-9.68848,22.5431;0.590088	0.163571:43.5349,-71.4529;0.994886	0.180418:-64.1323,-19.7493;-0.565685	0.151293:62.8626,28.2746;1.09758	0.197278:-47.6928,48.4431;0.0534288	0.128331:-31.3211,63.5367;-0.219507	0.108606:-65.4093,30.3464;0.988571	0.14577:-84.8883,-62.4212;-0.958775	0.153976:-31.1582,47.985;0.77196	
0.17831:54.3407,81.4216;0.771033	0.155397:-9.84507,22.4452;0.60797	0.163571:43.5372,-71.446;1.02504	0.180418:-63.995,-19.7474;-0.582827	0.151293:62.7123,28.4488;1.13084	0.197278:-47.8805,48.2664;0.0550478	0.128331:-31.376,63.597;-0.226158	0.108606:-65.526,30.2768;1.01852	0.14577:-84.8128,-62.7264;-0.987826	0.153976:-31.3463,47.8621;0.795349	
0.17831:54.1832,81.3949;0.793706	0.155397:-10.0017,22.3474;0.625851	0.163571:43.5395,-71.4392;1.0552	0.180418:-63.8581,-19.7455;-0.59997	0.151293:62.562,28.6229;1.1641	0.197278:-48.0682,48.0898;0.0566668	0.128331:-31.4309,63.6573;-0.23281	0.108606:-65.6428,30.2072;1.04847	0.14577:-84.7372,-63.0316;-1.01688	0.153976:-31.5343,47.7393;0.818737	
0.17831:54.0256,81.3682;0.81638	0.155397:-10.1583,22.2495;0.643733	0.163571:43.5418,-71.4323;1.08536	0.180418:-63.7211,-19.7436;-0.617112	0.151293:62.4117,28.797;1.19736	0.197278:-48.2559,47.9132;0.0582859	0.128331:-31.4859,63.7175;-0.239462	0.108606:-65.7595,30.1376;1.07841	0.14577:-84.6617,-63.3368;-1.04595	0.153976:-31.7224,47.6165;0.842126	
0.17831:53.8681,81.3415;0.839053	0.155397:-10.3149,22.1517;0.661614	0.163571:43.5441,-71.4254;1.11552	0.180418:-63.5842,-19.7417;-0.634254	0.151293:62.2614,28.9712;1.23062	0.197278:-48.4435,47.7366;0.0599049	0.128331:-31.5408,63.7778;-0.246114	0.108606:-65.8762,30.068;1.10836	0.14577:-84.5862,-63.6419;-1.07501	0.153976:-31.9105,47.4936;0.865515	
