10
0.17831:55.7398,81.6428;0.566905	0.155397:-8.43573,23.3232;0.447036	0.163571:43.5166,-71.5269;0.753802	0.180418:-65.2691,-19.773;-0.428552	0.151293:64.084,26.8767;0.831495	0.197278:-46.2039,49.8465;0.0404803	0.128331:-30.8727,63.0517;-0.166294	0.108606:-64.4786,30.9097;0.748823	0.14577:-85.4735,-59.9734;-0.726416	0.153976:-29.6542,48.9789;0.584785	
0.17831:55.5819,81.6154;0.589579	0.155397:-8.59251,23.2252;0.464917	0.163571:43.5189,-71.5208;0.783962	0.180418:-65.1333,-19.7715;-0.445694	0.151293:63.9342,27.0507;0.864755	0.197278:-46.3916,49.6695;0.0421	0.128331:-30.9277,63.112;-0.172946	0.108606:-64.5961,30.8403;0.778769	0.14577:-85.3972,-60.2786;-0.75548	0.153976:-29.8423,48.8561;0.608174	
0.17831:55.4239,81.5879;0.612252	0.155397:-8.7493,23.1272;0.482799	0.163571:43.5212,-71.5147;0.814122	0.180418:-64.9975,-19.7699;-0.462837	0.151293:63.7839,27.2246;0.898014	0.197278:-46.5792,49.4925;0.0437198	0.128331:-30.9826,63.1723;-0.179598	0.108606:-64.7136,30.7708;0.808714	0.14577:-85.3209,-60.5838;-0.784543	0.153976:-30.0303,48.7332;0.631563	
0.17831:55.266,81.5604;0.634926	0.155397:-8.90608,23.0291;0.50068	0.163571:43.5235,-71.5086;0.844282	0.180418:-64.8617,-19.7684;-0.479979	0.151293:63.6336,27.3986;0.931274	0.197278:-46.7669,49.3155;0.0453395	0.128331:-31.0375,63.2325;-0.18625	0.108606:-64.8311,30.7014;0.838659	0.14577:-85.2446,-60.8889;-0.813606	0.153976:-30.2184,48.6104;0.654952	
0.17831:55.1081,81.533;0.6576	0.155397:-9.06287,22.9311;0.518562	0.163571:43.5258,-71.5025;0.874442	0.180418:-64.7259,-19.7669;-0.497121	0.151293:63.4833,27.5725;0.964533	0.197278:-46.9546,49.1385;0.0469593	0.128331:-31.0925,63.2928;-0.192902	0.108606:-64.9486,30.632;0.868605	0.14577:-85.1683,-61.1941;-0.842669	0.153976:-30.4065,48.4876;0.678341	
0.17831:54.9501,81.5055;0.680273	0.155397:-9.21965,22.833;0.536443	0.163571:43.5281,-71.4964;0.904602	0.180418:-64.5901,-19.7654;-0.514263	0.151293:63.333,27.7465;0.997792	0.197278:-47.1423,48.9615;0.048579	0.128331:-31.1474,63.3531;-0.199554	0.108606:-65.066,30.5626;0.89855	0.14577:-85.092,-61.4993;-0.871733	0.153976:-30.5945,48.3647;0.70173	
0.17831:54.7922,81.478;0.702947	0.155397:-9.37644,22.735;0.554324	0.163571:43.5303,-71.4903;0.934762	0.180418:-64.4543,-19.7638;-0.531406	0.151293:63.1827,27.9204;1.03107	0.197278:-47.33,48.7845;0.0501988	0.128331:-31.2023,63.4133;-0.206206	0.108606:-65.1835,30.4931;0.928495	0.14577:-85.0157,-61.8045;-0.900796	0.153976:-30.7826,48.2419;0.725118	
0.17831:54.6343,81.4506;0.72562	0.155397:-9.53322,22.637;0.572206	0.163571:43.5326,-71.4842;0.964921	0.180418:-64.3185,-19.7623;-0.548548	0.151293:63.0324,28.0944;1.06436	0.197278:-47.5177,48.6075;0.0518185	0.128331:-31.2573,63.4736;-0.212857	0.108606:-65.301,30.4237;0.958441	0.14577:-84.9394,-62.1096;-0.929859	0.153976:-30.9707,48.1191;0.748507	
0.17831:54.4764,81.4231;0.748294	0.155397:-9.69,22.5389;0.590087	0.163571:43.5349,-71.4781;0.995081	0.180418:-64.1827,-19.7608;-0.56569	0.151293:62.8821,28.2683;1.09764	0.197278:-47.7053,48.4305;0.0534383	0.128331:-31.3122,63.5339;-0.219509	0.108606:-65.418,30.3543;0.988386	0.14577:-84.8631,-62.4148;-0.958922	0.153976:-31.1587,47.9962;0.771896	
0.17831:54.3184,81.3956;0.770968	0.155397:-9.8467,22.4409;0.607969	0.163571:43.5372,-71.472;1.02522	0.180418:-64.0469,-19.7592;-0.582833	0.151293:62.7318,28.4423;1.13092	0.197278:-47.893,48.2535;0.0550581	0.128331:-31.3671,63.5942;-0.226161	0.108606:-65.5339,30.2849;1.01833	0.14577:-84.7868,-62.72;-0.987985	0.153976:-31.3468,47.8734;0.795285	
0.17831:54.1605,81.3682;0.793641	0.155397:-10.0033,22.3429;0.62585	0.163571:43.5395,-71.4659;1.05536	0.180418:-63.9106,-19.7577;-0.599975	0.151293:62.5815,28.6162;1.16421	0.197278:-48.0807,48.0765;0.0566778	0.128331:-31.4221,63.6544;-0.232813	0.108606:-65.6499,30.2154;1.04828	0.14577:-84.7105,-63.0252;-1.01703	0.153976:-31.5349,47.7506;0.818674	
0.17831:54.0026,81.3407;0.816315	0.155397:-10.1599,22.2448;0.643731	0.163571:43.5418,-71.4598;1.08549	0.180418:-63.774,-19.7562;-0.617117	0.151293:62.4312,28.7902;1.19749	0.197278:-48.2684,47.8995;0.0582976	0.128331:-31.477,63.7147;-0.239465	0.108606:-65.7659,30.146;1.07822	0.14577:-84.6342,-63.3303;-1.04607	0.153976:-31.7229,47.6277;0.842063	
0.17831:53.8447,81.3132;0.838988	0.155397:-10.3165,22.1468;0.661613	0.163571:43.5441,-71.4537;1.11563	0.180418:-63.6374,-19.7547;-0.63426	0.151293:62.2809,28.9641;1.23077	0.197278:-48.4561,47.7225;0.0599173	0.128331:-31.5319,63.775;-0.246117	0.108606:-65.8818,30.0766;1.10817	0.14577:-84.558,-63.6355;-1.07511	0.153976:-31.911,47.5049;0.865452	
0.17831:53.6867,81.2858;0.861662	0.155397:-10.4731,22.0487;0.679494	0.163571:43.5464,-71.4476;1.14577	0.180418:-63.5009,-19.7531;-0.651402	0.151293:62.1306,29.1381;1.26406	0.197278:-48.6438,47.5455;0.0615371	0.128331:-31.5869,63.8353;-0.252769	0.108606:-65.9978,30.0071;1.13811	0.14577:-84.4817,-63.9407;-1.10415	0.153976:-32.0989,47.3821;0.88884	
0.17831:53.5288,81.2583;0.884336	0.155397:-10.6297,21.9507;0.697376	0.163571:43.5487,-71.4415;1.1759	0.180418:-63.3643,-19.7516;-0.668544	0.151293:61.9803,29.312;1.29734	0.197278:-48.8314,47.3685;0.0631562	0.128331:-31.6418,63.8955;-0.259421	0.108606:-66.1138,29.9377;1.16806	0.14577:-84.4054,-64.2459;-1.13319	0.153976:-32.2865,47.2592;0.912229	
0.17831:53.3709,81.2309;0.907009	0.155397:-10.7863,21.8527;0.715257	0.163571:43.5509,-71.4353;1.20604	0.180418:-63.2277,-19.7501;-0.685686	0.151293:61.83,29.486;1.33062	0.197278:-49.0191,47.1915;0.0647745	0.128331:-31.6967,63.9558;-0.266072	0.108606:-66.2297,29.8683;1.198	0.14577:-84.3291,-64.551;-1.16223	0.153976:-32.4742,47.1364;0.935618	
